"Order ID","Customer Name","Product Name","Product Quantity","Variation details","Order Amount","Customer Email","Phone Number","Order Status"
6992,"asfafasf asfasfasfasf","Daily greens &rarr; Daily greens",25,,"$1,352.88",asfasfasfas@gmail.com,486786786,Processing
6991,"Newt Scammander","Daily greens &rarr; Daily greens",7,,$379.53,newtscamman411@gmail.com,123456789,Processing
6990,"Jon Snow","Daily greens &rarr; Daily greens",2,,$109.15,jonsnow411@gmail.com,123456789,Processing
6989,"Robert Baratheon","Daily greens &rarr; Daily greens",1,,$55.08,robertbaratheon411@gmail.com,123456789,Processing
6988,"Robert Baratheon","Daily greens &rarr; Daily greens",3,,$163.23,robertbaratheon411@gmail.com,123456789,Processing
6980,"Maria Mario","Daily greens &rarr; Daily greens",3,,$163.23,mariamariofrom411@gmail.com,123456789,Processing
6963,"James Doe","Daily greens &rarr; Daily greens",7,,$379.53,johndoe411locals@gmail.com,7896388888,Completed
6962,"James Doe","Daily greens &rarr; Daily greens",6,,$301.00,johndoe411locals@gmail.com,7896388888,Processing
6848,"mae maenevada","Daily greens &rarr; Daily greens",10,,$541.75,orderfromnevada@gmail.com,16331213123,Processing
6754,"Sir Refund","Sample product g &rarr; Sample Product",2,,$21.00,sirrefund123@gmail.com,464646,Processing
6752,"Sir Refund","Sample product g &rarr; Sample Product",1,,$11.00,sirrefund123@gmail.com,464646,Processing
